FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1baf,1188,37.154,14.384,Italy,380,367,13,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bcf,1189,37.169,14.748,Italy,102,99,3,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bc6,1190,37.182,14.183,Italy,832,722,110,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eda,1029,37.182,14.183,Italy,142,128,14,,YES,NO,Point (? 10 km2),IBD02999,"Ragusa, A., V. Frontini, et al. (1992). ""Presence of an African beta-globin gene cluster haplotype in normal chromosomes in Sicily."" American Journal of Hematology 40(4): 313-315.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f00,1073,37.1861,34.568,Turkey,666,666,0,,YES,YES,,IBD03173,"Tosun, F., A. Bilgin, et al. (2006). ""Five-year evaluation of premarital screening program for hemoglobinopathies in the province of Mersin, Turkey."" Turkish Journal of Haematology 23(2): 84-89.",TUR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ad7,1191,37.211,14.636,Italy,966,960,6,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f74,982,37.2448,-119.6086,United States of America,3212374,18371,28483,422,NO,YES,Large polygon (>100 km2),IBD02804,"Lorey, F. W., J. Arnopp, et al. (1996). ""Distribution of hemoglobinopathy variants by ethnicity in a multiethnic state."" Genet Epidemiology 13(5): 501-512.",USA,TRUE,TRUE
HbS_Data.fid--5a9ebec4_181ab14c941_1da3,1192,37.287,14.993,Italy,440,430,10,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b9d,1193,37.302,13.581,Italy,246,241,5,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ba1,1194,37.313,14.853,Italy,296,291,5,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1df1,1195,37.335,13.988,Italy,100,96,4,0,YES,YES,Point (? 10 km2),IBD03292,"Schiliro, G., F. Di Gregorio, et al. (1986). ""Incidence of hemoglobin S carriers in Sicily."" Hemoglobin 10(1): 95-99.",ITA,TRUE,FALSE
