FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1cb5,311,-33.924,18.438,South Africa,1555,1546,9,,YES,NO,Large polygon (>100 km2),IBD00674,"Esrachowitz, S. R., Friedlander, S., Radloff, G., Saunders, S. 1952 The sickle cell trait in Cape coloured persons South African Medical Journal 26(12): 239-40.",ZAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ac9,401,-33.867,151.208,Australia,487,479,8,,NO,YES,Large polygon (>100 km2),IBD00881,"Harley, J. D., Agar, N.S., Turner, T.B. 1976 Letter: sickle-cell anaemia and trait in Sydney The Medical Journal of Australia 1 (23): 894.",AUS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cb6,312,-32.432,-71.235,Chile,479,479,0,0,NO,YES,Large polygon (>100 km2),IBD00678,"Etcheverry, R., C. Guzman, et al. (1967). ""[Investigation of blood groups and other genetic blood characteristics in Chilean natives. I. In Atacamenos and Mapuches]."" Revista Medica de Chile 95(10): 599-604.",CHL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eeb,1052,-31.7584,-52.9289,Brazil,9785,9634,151,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eec,1053,-30.205,-51.1776,Brazil,55450,54729,721,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eed,1054,-30.1863,-55.3426,Brazil,10217,10072,145,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dcf,680,-30.04,-51.218,Brazil,46,46,0,0,YES,NO,Small polygon (>25 and ? 100 km2),IBD01763,"Salzano, F. M., F. J. Da Rocha, et al. (1968). ""Hemoglobin types and gene flow in Porto Alegre, Brazil."" Acta Genetica et Statistica Medica 18(5): 449-457.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e53,870,-30.04,-51.218,Brazil,1042,1029,8,3,NO,YES,Large polygon (>100 km2),IBD02471,"Daudt, L. E., D. Zechmaister, et al. (2002). ""[Neonatal screening for hemoglobinopathies: a pilot study in Porto Alegre, Rio Grande do Sul, Brazil]."" Cadernos de Saude Publica 18(3): 833-841.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eee,1055,-29.738,-52.5685,Brazil,9249,9163,86,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eef,1056,-29.5082,-54.1973,Brazil,5862,5798,64,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ccc,396,-28.993,25.083,South Africa,1741,,2,,NO,YES,Large polygon (>100 km2),IBD00850,"Griffiths, S. B. (1954). ""The distribution of the sickle-cell trait in Africa."" South African Journal of Medical Sciences 19: 56-57.",ZAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ef0,1057,-28.7509,-51.0069,Brazil,6776,6715,61,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ef1,1058,-28.1474,-53.3983,Brazil,19981,19867,114,,NO,YES,,IBD03117,"Sommer, C. K., Goldbeck, A.S., Wagner, S.C., Castro, S.M. 2006 [Neonatal screening for hemoglobinopathies: a one-year experience in the public health system in Rio Grande do Sul State, Brazil] Cadernos de Saude Publica 22 (8): 1709-14.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bcc,681,-26.849,-49.717,Brazil,278,277,1,0,NO,YES,,IBD01764,"Salzano, F. M. and C. V. Tondo (1968). ""Hemoglobin types of Brazilian Indians."" American Journal of Physical Anthropology 28(3): 355-359.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d15,429,-26.49,-51.992,Brazil,77,77,0,,NO,YES,Point (? 10 km2),IBD01043,"Kalmus, H. (1957). ""Defective colour vision, P.T.C. tasting and drepanocytosis in samples from fifteen Brazilian populations."" Annals of Human Genetics 21(4): 313-317.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1db1,645,-26.337,32.664,Mozambique,59,,0,,NO,YES,Large polygon (>100 km2),IBD01671,"Reys, L., C. Manso, et al. (1972). ""Genetic studies on southeastern Bantu of Mozambique. II. Serum groups, hemoglobins and red cell isozyme phenotypes."" Humangenetik 16(3): 227-233.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bfb,618,-26.2,28.042,South Africa,430,430,0,0,YES,YES,Point (? 10 km2),IBD01581,"Piliszek, T. S. (1979). ""Hb Bart's and its significance in the South African Negro."" Acta Haematologica 61(1): 33-38.",ZAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e50,867,-25.9675,32.5896,Mozambique,4763,4716,47,,YES,YES,Point (? 10 km2),IBD02450,"Colombo, B. and L. Felicetti (1985). ""Admission of Hb S heterozygotes to a general hospital is relatively reduced in malarial areas."" Journal of Medical Genetics 22(4): 291-292.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b85,980,-25.962,32.573,Mozambique,881,847,34,,YES,YES,,IBD02794,"Liljestrand, J., S. Bergstrom, et al. (1986). ""Anaemia of pregnancy in Mozambique."" Transactions of the Royal Society of Tropical Medicine and Hygiene 80(2): 249-255.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cfa,397,-25.7667,31,South Africa,107,,2,0,NO,YES,Large polygon (>100 km2),IBD00850,"Griffiths, S. B. (1954). ""The distribution of the sickle-cell trait in Africa."" South African Journal of Medical Sciences 19: 56-57.",ZAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dd6,719,-25.184,46.085,Madagascar,101,99,2,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dd7,720,-25.031,46.989,Madagascar,199,184,15,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e8b,941,-24.7984,46.0904,Madagascar,41,,2,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d55,721,-24.699,44.746,Madagascar,80,74,6,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b67,1264,-24.6332,-48.4129,Brazil,131,,14,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b11,1265,-24.6189,-48.4657,Brazil,129,,18,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e9b,1266,-24.6079,-48.3485,Brazil,102,,8,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ada,1267,-24.5626,-48.3686,Brazil,143,,7,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c03,1268,-24.5364,-48.3098,Brazil,145,,3,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f3c,1269,-24.525,-48.05,Brazil,53,,6,1,NO,YES,Point (? 10 km2),IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b0d,1270,-24.5133,-48.4441,Brazil,63,,2,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b0e,1271,-24.5075,-48.3704,Brazil,65,,1,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e8c,942,-24.501,44.4248,Madagascar,41,,0,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b0f,1272,-24.4821,-48.0614,Brazil,155,,21,2,NO,YES,Point (? 10 km2),IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b10,1273,-24.4392,-48.4482,Brazil,50,,0,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ab7,1274,-24.4381,-48.5047,Brazil,22,,0,0,NO,YES,,IBD03324,"Auricchio, M. T. B. D. M., J. P. Vicente, et al. (2007). ""Frequency and origins of hemoglobin S mutation in African-derived Brazilian populations."" Human Biology 79(6): 667-677.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1db2,646,-24.422,32.866,Mozambique,61,,0,,NO,YES,Large polygon (>100 km2),IBD01671,"Reys, L., C. Manso, et al. (1972). ""Genetic studies on southeastern Bantu of Mozambique. II. Serum groups, hemoglobins and red cell isozyme phenotypes."" Humangenetik 16(3): 227-233.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1db3,647,-24.056,34.73,Mozambique,60,,0,,NO,YES,Large polygon (>100 km2),IBD01671,"Reys, L., C. Manso, et al. (1972). ""Genetic studies on southeastern Bantu of Mozambique. II. Serum groups, hemoglobins and red cell isozyme phenotypes."" Humangenetik 16(3): 227-233.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e8f,943,-23.7753,47.3515,Madagascar,40,,6,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d0f,423,-23.683,22.786,Botswana,52,52,0,0,YES,YES,Point (? 10 km2),IBD01014,"Jenkins, T., S. R. Blecher, et al. (1968). ""Some hereditary red-cell traits in Kalahari Bushmen and Bantu: hemoglobins, glucose-6-phosphate dehydrogenase deficiency, and blood groups."" American Journal of Human Genetics 20(4): 299-309.",BWA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e90,944,-23.4183,45.6621,Madagascar,23,,2,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e7b,945,-23.3208,47.4943,Madagascar,199,,44,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dd8,722,-23.27,46.096,Madagascar,219,174,45,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c9b,313,-23.189,-68.001,Chile,67,67,0,0,NO,YES,,IBD00678,"Etcheverry, R., C. Guzman, et al. (1967). ""[Investigation of blood groups and other genetic blood characteristics in Chilean natives. I. In Atacamenos and Mapuches]."" Revista Medica de Chile 95(10): 599-604.",CHL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e91,946,-23.0852,43.9013,Madagascar,38,,3,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e51,868,-22.955,-46.54,Brazil,1118,1095,7,,NO,YES,Point (? 10 km2),IBD02453,"Compri, M. B., N. C. Polimeno, et al. (1996). ""[Public health programs for hereditary hemoglobinopathies in high school students in Brazil]."" Revista de Saude Publica 30(2): 187-195.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d11,424,-22.9274,22.1467,Botswana,144,144,0,0,YES,YES,Point (? 10 km2),IBD01014,"Jenkins, T., S. R. Blecher, et al. (1968). ""Some hereditary red-cell traits in Kalahari Bushmen and Bantu: hemoglobins, glucose-6-phosphate dehydrogenase deficiency, and blood groups."" American Journal of Human Genetics 20(4): 299-309.",BWA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c83,245,-22.8834,-47.0437,Brazil,518,,12,0,NO,YES,,IBD00460,"Cezar, P. C., K. Mizusaki, et al. (1974). ""[S hemoglobin and leprosy (author's transl)]."" Revista Brasileira de Pesquisas Medicas e Biologicas 7(2): 151-167.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1db4,648,-22.873,31.969,Mozambique,102,,1,,NO,YES,Large polygon (>100 km2),IBD01671,"Reys, L., C. Manso, et al. (1972). ""Genetic studies on southeastern Bantu of Mozambique. II. Serum groups, hemoglobins and red cell isozyme phenotypes."" Humangenetik 16(3): 227-233.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bea,723,-22.822,47.826,Madagascar,333,,71,,NO,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b89,430,-22.75,-41.884,Brazil,73,72,1,,NO,YES,,IBD01043,"Kalmus, H. (1957). ""Defective colour vision, P.T.C. tasting and drepanocytosis in samples from fifteen Brazilian populations."" Annals of Human Genetics 21(4): 313-317.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e92,947,-22.7283,44.8888,Madagascar,11,,0,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e93,948,-22.4285,47.7322,Madagascar,45,,7,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dda,724,-22.363,47.843,Madagascar,230,183,47,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c96,314,-22.333,-68.234,Chile,60,60,0,0,NO,YES,,IBD00678,"Etcheverry, R., C. Guzman, et al. (1967). ""[Investigation of blood groups and other genetic blood characteristics in Chilean natives. I. In Atacamenos and Mapuches]."" Revista Medica de Chile 95(10): 599-604.",CHL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ca1,315,-22.266,-68.185,Chile,50,50,0,0,NO,YES,,IBD00678,"Etcheverry, R., C. Guzman, et al. (1967). ""[Investigation of blood groups and other genetic blood characteristics in Chilean natives. I. In Atacamenos and Mapuches]."" Revista Medica de Chile 95(10): 599-604.",CHL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b14,1182,-22.2368,-49.9143,Brazil,22785,22070,524,4,NO,YES,,IBD03291,"MendonçaI, A. C., J. L. GarciaI, et al. (2009). ""Muito além do ""Teste do Pezinho""."" Revista Brasileira de Hematologia e Hemoterapia 31(2): 88-93.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b4a,1253,-22.23,-54.808,Brazil,13835,,190,0,NO,YES,Wide-area (>10 and ? 25 km2),IBD03313,"de Souza, R. A. V., R. Pratesi, et al. (2010). ""Neonatal screening program for hemoglobinopathies in dourados, MS-an analysis."" Programa de triagem neonatal para hemoglobinopatias em dourados, MS-uma análise 32(2): 126-130.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ddb,725,-22.144,48.016,Madagascar,475,374,101,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1be2,211,-21.716,43.749,Madagascar,96,86,10,,YES,YES,,IBD00389,"Buettner Janusch, J. and V. Buettner Janusch (1970). ""Haemoglobin S in the Malagasy."" Archives de l'Institut Pasteur de Madagascar 39: 211-214.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c16,210,-21.716,43.749,Madagascar,16,16,0,,YES,YES,,IBD00389,"Buettner Janusch, J. and V. Buettner Janusch (1970). ""Haemoglobin S in the Malagasy."" Archives de l'Institut Pasteur de Madagascar 39: 211-214.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e94,949,-21.4291,47.9107,Madagascar,91,,29,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e7a,950,-21.2744,46.4949,Madagascar,11,,3,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ddc,726,-21.235,48.351,Madagascar,64,50,14,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ddd,727,-21.235,48.351,Madagascar,324,293,31,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b30,798,-21.185,-47.801,Brazil,606,597,8,1,NO,YES,Small polygon (>25 and ? 100 km2),IBD02205,"Zago, M. A., F. F. Costa, et al. (1983). ""Hereditary hemoglobin disorders in a Brazilian population."" Human Heredity 33(2): 125-129.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1de6,740,-21.046,46.715,Madagascar,130,,6,,NO,YES,Large polygon (>100 km2),IBD01898,"Singer, R., O. E. Budtz-Olsen, et al. (1957). ""Physical features, sickling and serology of the Malagasy of Madagascar."" American Journal of Physical Anthropology 15(1): 91-124.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e76,951,-20.9199,44.401,Madagascar,8,,0,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e96,952,-20.789,47.9702,Madagascar,14,,7,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dc9,728,-20.297,44.276,Madagascar,624,576,48,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ddf,729,-20.297,44.276,Madagascar,601,531,70,,YES,YES,Small polygon (>25 and ? 100 km2),IBD01790,"Saugrain, J. (1957). ""[New research on drepanocytosis in Madagascar.]."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 50(3): 480-486.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e97,953,-20.2275,48.4818,Madagascar,33,,9,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d12,425,-20.2258,21.4004,Botswana,83,83,0,0,YES,YES,,IBD01014,"Jenkins, T., S. R. Blecher, et al. (1968). ""Some hereditary red-cell traits in Kalahari Bushmen and Bantu: hemoglobins, glucose-6-phosphate dehydrogenase deficiency, and blood groups."" American Journal of Human Genetics 20(4): 299-309.",BWA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e98,954,-19.861,46.4354,Madagascar,154,,1,,NO,YES,,IBD02670,"Hewitt, R., A. Krause, et al. (1996). ""Beta-globin haplotype analysis suggests that a major source of Malagasy ancestry is derived from Bantu-speaking Negroids."" American Journal of Human Genetics 58(6): 1303-1308.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cc9,330,-19.827,34.835,Mozambique,50,49,1,0,YES,YES,Point (? 10 km2),IBD00735,"Foy, H., A. Kondi, et al. (1952). ""The distribution of sickle cell trait and the incidence of sickle cell anaemia in the Negro tribes of Portuguese East Africa."" East African Medical Journal 29(7): 247-251.",MOZ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bc7,863,-19.758,-47.928,Brazil,506,485,19,,NO,YES,Point (? 10 km2),IBD02411,"Campos, L. M. F. R., F. L. Dias, et al. (2006). ""Abnormal hemoglobins in umbilical cord blood."" Revista Brasileira de Hematologia e Hemoterapia 28(1): 67-69.",BRA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b6e,741,-19.324,46.958,Madagascar,1004,,33,,NO,YES,Large polygon (>100 km2),IBD01898,"Singer, R., O. E. Budtz-Olsen, et al. (1957). ""Physical features, sickling and serology of the Malagasy of Madagascar."" American Journal of Physical Anthropology 15(1): 91-124.",MDG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d13,426,-19.2062,23.629,Botswana,62,62,0,0,YES,YES,Point (? 10 km2),IBD01014,"Jenkins, T., S. R. Blecher, et al. (1968). ""Some hereditary red-cell traits in Kalahari Bushmen and Bantu: hemoglobins, glucose-6-phosphate dehydrogenase deficiency, and blood groups."" American Journal of Human Genetics 20(4): 299-309.",BWA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c7b,205,-19.1779,16.693,Namibia,500,500,0,0,YES,YES,,IBD00365,"Bronte-Stewart, B., D. E. Budtz-Olsen, et al. (1960). ""The health and nutritional status of the kung Bushmen of Southwest Africa."" South African Journal of Laboratory and Clinical Medicine 6: 187-216.",NAM,TRUE,FALSE
