ID,PMID,DOI,Hardy-Weinberg value,hbaa,hbas,hbss,HbAC,HbSC,HbCC,HbFA,HbFAS,HbFS,HbFSC,HbFAC,Other bloodtyping,Typing method,Demographic (age in years),Spatial location(s),ADM-0 (country),ADM-1,ADM-2,ADM-3,ADM-4,Adjusted longitude,Adjusted latitude,Original longitude,Original latitude,API ADM,API Lon,Lon-API Lon,API Lat,Lat-API Lat,Spatial accuracy,Area finest spatial unit [sq.km],Study period FROM,Study period TO,Publication year,identifiedproblem
177,31145786,10.1093/inthealth/ihz028,,,,,,,,486,52,3,,,2,isoelectric focusing,newborns,Muhimbili National Hospita Temeke Regional Hospital,Tanzania,Dar es Salaam,Kinondoni District,,,39.2946,-6.7540,39.2946,-6.7540,Kinondoni District,39.11274,0.1819,-6.70533,-0.0487,ADM-2,503,1/1/2015,1/11/2016,2019,FALSE
178,31145786,10.1093/inthealth/ihz028,,,,,,,,2355,347,24,,,16,isoelectric focusing,newborns,Muhimbili National Hospita Temeke Regional Hospital,Tanzania,Dar es Salaam,Temeke District,,,39.2775,-6.8797,39.2775,-6.8797,Temeke District,39.44503,-0.1675,-6.9488,0.0691,ADM-2,617,1/1/2015,1/11/2016,2019,FALSE
179,31145786,10.1093/inthealth/ihz028,,,,,,,,209,54,2,,,3,isoelectric focusing,newborns,Muhimbili National Hospita Temeke Regional Hospital,Tanzania,,,,,34.8888,-6.3754,34.8888,-6.3754,Tanzania,34.88882,0.0000,-6.36903,-0.0064,ADM-0,947303,1/1/2015,1/11/2016,2019,FALSE
180,34335138,10.3389/ijph.2021.629338,1.001546522,684,28,0,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Dedza District,,,,34.3333,-14.3833,34.3333,-14.3833,Dedza District,34.24216,0.0911,-14.1895,-0.1938,ADM-1,3624,1/5/2018,1/12/2018,2021,FALSE
181,34335138,10.3389/ijph.2021.629338,1.004323513,341,24,0,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Dowa District,,,,33.9377,-13.6553,33.9377,-13.6553,Dowa District,33.88577,0.0519,-13.6041,-0.0512,ADM-1,4346,1/5/2018,1/12/2018,2021,FALSE
182,34335138,10.3389/ijph.2021.629338,1.00945216,650,70,0,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Kasungu,,,,33.4833,-13.0333,33.4833,-13.0333,Kasungu,33.47198,0.0113,-13.0357,0.0024,ADM-1,9952,1/5/2018,1/12/2018,2021,FALSE
183,34335138,10.3389/ijph.2021.629338,0.9997735654,4427,318,12,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Lilongwe,,,,33.7833,-13.9833,33.7833,-13.9833,Lilongwe,33.77412,0.0092,-13.9626,-0.0207,ADM-1,6159,1/5/2018,1/12/2018,2021,FALSE
184,34335138,10.3389/ijph.2021.629338,1.007578072,1039,110,1,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Mchinji,,,,32.9000,-13.8000,32.9000,-13.8000,Mchinji,32.89304,0.0070,-13.8,0.0000,ADM-1,3356,1/5/2018,1/12/2018,2021,FALSE
185,34335138,10.3389/ijph.2021.629338,1.005390162,366,29,0,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Nkhotakota,,,,34.2960,-12.9275,34.2960,-12.9275,Nkhotakota,34.28105,0.0149,-12.9317,0.0042,ADM-1,4379,1/5/2018,1/12/2018,2021,FALSE
186,34335138,10.3389/ijph.2021.629338,0.9999467023,906,42,1,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Ntcheu,,,,34.6333,-14.8167,34.6333,-14.8167,Ntcheu,34.63587,-0.0026,-14.822,0.0053,ADM-1,4373,1/5/2018,1/12/2018,2021,FALSE
187,34335138,10.3389/ijph.2021.629338,1.007951641,143,14,0,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Ntchisi,,,,33.9333,-13.3667,33.9333,-13.3667,Ntchisi,34.00329,-0.0700,-13.382,0.0153,ADM-1,1782,1/5/2018,1/12/2018,2021,FALSE
188,34335138,10.3389/ijph.2021.629338,1.006409671,1218,106,0,,,,,,,,,,isoelectric focusing,newborns,Kamuzu Central Hospital (KCH),Malawi,Salima,,,,34.4600,-13.7800,34.4600,-13.7800,Salima,34.45864,0.0014,-13.7796,-0.0004,ADM-1,2196,1/5/2018,1/12/2018,2021,FALSE
189,32589979,10.1016/S2352-3026(20)30143-5,1.020823614,2774,740,51,34,4,,,,,,,,"SickleSCAN, HemoTypeSC and the gold standard HPLC",newborns,five primary health-care centres,Nigeria,Federal Capital Territory,Gwagwalada Area Council,,,7.5140,8.9510,7.5140,8.9510,Gwagwalada Area Council,7.082337,0.4317,8.954683,-0.0037,ADM-3,1065,14/7/2017,3/9/2019,2020,FALSE
190,35222587,10.4314/ahs.v21i3.33,1.045918367,77,21,,4,,,,,,,,,haemoglobin electrophoresis,19-44 years,University of Medical Sciences Teaching Hospital,Nigeria,Ondo State,,,,5.2282,7.1290,5.2282,7.1290,Ondo State,5.147814,0.0804,6.914868,0.2141,ADM-1,15500,5/2/2018,31/12/2018,2021,FALSE
191,34683121,10.3390/jpm11100980,0.9991052182,270644,5003,172,,,,,,,,,,"HPLC, hemoglobin (Hb) gel electrophoresis",NA,"Sabah area (Main Center), Ahmadi PMS (Mubarak Al-Kabeer Health Center), Farwaniya PMS (Menahi Al-Osaimi Health Center) and Jahra PMS (Al-Jahra Health Center)",Kuwait,,,,,47.5877,29.3343,47.5877,29.3343,Kuwait,47.48177,0.1059,29.31166,0.0226,ADM-0,17818,1/8/2009,1/8/2020,2021,FALSE
192,31523029,,1.032756871,1077,238,0,161,3,4,,,,,,,"capillary electrophoresis using Minicap, Sebia",18-25 years,May come from all over the country,Benin,,,,,2.3158,9.3077,2.3158,9.3077,Benin,2.315834,0.0000,9.30769,0.0000,ADM-0,,1/1/2016,12/31/2016,2019,FALSE
193,30724025,,0.9992507941,2608,9,1,,,,,,,,,,HPLC,newborns,Monza,Italy,Lombardia,,Monza,,9.2663,45.5858,9.2663,45.5858,Monza,9.274449,-0.0081,45.5845,0.0013,ADM-3,25,1/9/2016,31/8/2017,2018,FALSE
194,30724025,,0.9979949839,2790,28,3,,,,,,,,,,HPLC,newborns,Padova,Italy,,Padova,,,11.8887,45.4183,11.8887,45.4183,Padova,11.87676,0.0119,45.40643,0.0119,ADM-2,2500,2/5/2016,30/11/2017,2018,FALSE
195,32091272,10.1080/03630269.2020.1729175,1.000010213,3743,12,,,,,,,,,,,HPLC,20-55 years,Al Majma’ah,Saudi Arabia,Ar Riyad,Al Majma’ah,Al Majma’ah,,45.3811,25.8856,45.3811,25.8856,Al Majma’ah,45.37307,0.0080,25.87589,0.0097,ADM-2,150,1/10/2016,30/9/2019,2020,FALSE
196,32451712,10.1007/s00277-020-04044-z,0.9997344668,1043244,4827,151,,,,,,,,,,HPLC,newborns,Madrid,Spain,,Madrid,Madrid,,-3.6838,40.4166,-3.6838,40.4166,Madrid,-3.70379,0.0200,40.41678,-0.0002,ADM-3,700,1/5/2003,1/5/2018,2020,FALSE
197,32803850,10.1002/pbc.28620,1.049012977,645,315,39,,,,,,,,,,HemoTypeSC,newborns,Region served by Shirati hospital (map provided),Tanzania,North Mara,Rorya District,Shirati,,34.0341,-1.1543,34.0341,-1.1543,Shirati,34.03351,0.0005,-1.15426,0.0000,ADM-3,5,1/2/2019,30/9/2019,2020,FALSE
198,33193983,10.11604/pamj.2020.36.329.21478,1.000137115,422,5,,,,,,,,,,,Haemoglobin electrophoresis,18-64 years,Haute Matsiatra,Madagascar,Haute Matsiatra,,,,46.5990,-21.4015,46.5990,-21.4015,Haute Matsiatra,46.67053,-0.0715,-21.5408,0.1393,ADM-1,20000,1/1/2017,31/5/2017,2020,FALSE
199,33222570,10.1080/03630269.2020.1848859,1.011490428,2353,447,23,,,,,,,,,,Hb electrophoresis and or HPLC,NA,Dindori,India,Madhya Pradesh,Dindori,,,81.0767,22.9407,81.0767,22.9407,Dindori,81.07685,-0.0001,22.94179,-0.0011,ADM-2,5,1/1/2015,31/12/2017,2020,FALSE
200,33222570,10.1080/03630269.2020.1848859,1.00305623,327,49,3,,,,,,,,,,Hb electrophoresis and or HPLC,NA,Mandla,India,Madhya Pradesh,Mandla,,,80.3723,22.5994,80.3724,22.5994,Mandla,80.37139,0.0010,22.59792,0.0015,ADM-2,5,1/1/2015,31/12/2017,2020,FALSE
201,33222570,10.1080/03630269.2020.1848859,1.004700942,648,80,3,,,,,,,,,,Hb electrophoresis and or HPLC,NA,Chhindwara,India,Madhya Pradesh,Chhindwara,,,78.9376,22.0594,78.9376,22.0594,Chhindwara,78.93817,-0.0006,22.05744,0.0019,ADM-2,75,1/1/2015,31/12/2017,2020,FALSE
202,35463879,10.3389/fped.2022.826262,0.9874635658,781,59,8,2,0,,,,,,,,HPLC,1-16 years,Bissau,Guinea Bissau,Bissau,Bissau,Bissau,,-15.6116,11.8739,-15.6116,11.8739,Bissau,-15.5843,-0.0273,11.86322,0.0107,ADM-3,125,1/12/2012,31/12/2012,2022,FALSE
203,35480324,10.3389/fgene.2022.805709,1.018944444,252,47,1,,,,,,,,,,Sickle SCAN®,pregnant women,Dar es Salaam,Tanzania,Dar es Salaam,,,,39.2101,-6.7943,39.2101,-6.7943,Dar es Salaam,39.20833,0.0018,-6.79235,-0.0020,ADM-1,2500,1/8/2020,28/2/2021,2022,FALSE
204,33228681,10.1186/s12936-020-03500-5,1.022835004,664,131,2,101,6,4,18,,8,,,4,Isoelectric focusing (IEF) electrophoresis,1-12 years,several locations in the Volta region,Ghana,Volta region,,,,0.6700,6.1748,0.6700,6.1748,Volta region,0.450237,0.2198,6.578137,-0.4033,ADM-1,10000,1/12/2018,31/12/2018,2020,FALSE
205,35584443,10.31744/einstein_journal/2022AO6535,,,,,,,,34939,676,5,5,201,32,HPLC and others,newborns,Mato Grosso do Sul,Brazil,Mato Grosso do Sul,,,,-54.7584,-20.6417,-54.7584,-20.6417,Mato Grosso do Sul,-54.7852,0.0268,-20.7722,0.1305,ADM-1,360000,1/1/2019,31/12/2019,2022,FALSE
