ID,PMID,DOI,Hardy-Weinberg value,hbaa,hbas,hbss,HbAC,HbSC,HbCC,HbFA,HbFAS,HbFS,HbFSC,HbFAC,Other bloodtyping,Typing method,Demographic (age in years),Spatial location(s),ADM-0 (country),ADM-1,ADM-2,ADM-3,ADM-4,Adjusted longitude,Adjusted latitude,Original longitude,Original latitude,API ADM,API Lon,Lon-API Lon,API Lat,Lat-API Lat,Spatial accuracy,Area finest spatial unit [sq.km],Study period FROM,Study period TO,Publication year,identifiedproblem
114,30504186,10.1182/bloodadvances.2018GS110951,1.002429711,5504,1100,100,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.833 years,,Uganda,North East,,,,34.3000,2.4167,34.3000,2.4167,North East,,34.3000,,2.4167,ADM-1,20000,1/10/2014,31/8/2016,2018,FALSE
115,30504186,10.1182/bloodadvances.2018GS110951,1.001401114,1985,135,3,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-0.917 years,,Uganda,South Western,,,,30.2833,1.0000,30.2833,1.0000,South Western,,30.2833,,1.0000,ADM-1,45000,1/10/2014,31/8/2016,2018,FALSE
116,30504186,10.1182/bloodadvances.2018GS110951,1.014817246,2123,422,19,,,,,,,,,, Haemoglobin electrophoresis by isoelectric focusing,0.167-1 years,,Uganda,West Nile,,,,31.3333,3.2500,31.3333,3.2500,West Nile,,31.3333,,3.2500,ADM-1,28100,1/10/2014,31/8/2016,2018,FALSE
117,29183229,10.1177/0969141317695356,,,,,,,,1656,183,10,2,63,,HPLC (Variant™nbs Newborn Hemoglobin system-Bio Rad),newborns,Grenada,Grenada,,,,,-61.6790,12.1165,-61.7285,12.0501,Grenada,-61.679,-0.0495,12.1165,-0.0664,ADM-0,344,1/3/2014,15/11/2015,2017,FALSE
118,20231768,,1.015625,210,30,,,,,,,,,,,Haemoglobin electrophoresis by cellulose acetate,1-8 years,"Rumueme, Port Harcourt",Nigeria,Rivers,Port Harcourt,Rumueme,,7.0080,4.8222,7.0080,4.8222,Rumueme,6.982661,0.0254,4.81882,0.0034,ADM-2,370,1/3/2005,30/4/2006,2010,FALSE
119,32159643,10.1590/1984-0462/2020/38/2018229,0.9995435493,31964,921,21,,,,,,,,,, Isoelectric Focusing Electrophoresis ,newborns,Sergipe,Brazil,Sergipe,,,,-37.0983,-10.9000,-37.0983,-10.9000,Sergipe,-37.4681,0.3698,-10.6739,-0.2261,ADM-1,21910,1/10/2011,31/10/2012,2020,FALSE
120,30953444,10.1093/trstmh/trz015,1.036198909,352,88,1,,,,,,,,,,Sequenom MassArray genotyping platform(SNP),NA,Abedi parish in the Apac district,Uganda,Northern Region,Apac District,,,32.5424,1.9416,32.5424,1.9416,Apac District,32.62775,-0.0853,1.873026,0.0686,ADM-2,3818,1/7/2010,1/11/2010,2019,FALSE
121,31619285,10.1186/s13104-019-4682-5,0.95298125,341,45,14,,,,,,,,,,capillary zone electrophoresis,0-18 years,Al Fashir hospital,Sudan,North Darfur State,Al Fashir Locality,,,25.3588,13.6237,25.3588,13.6237,Al Fashir Locality,25.35487,0.0039,13.61975,0.0039,ADM-2,100,1/12/2017,1/8/2018,2019,FALSE
122,33151598,10.1111/tmi.13506,0.9761673617,226769,40862,7664,,,,,,,,,3290,Haemoglobin electrophoresis by isoelectric focusing,0-2 years,public health laboratory database in Uganda,Uganda,,,,,32.3691,1.2747,32.3691,1.2747,Uganda,32.29028,0.0788,1.373333,-0.0986,ADM-0,241551,1/2/2014,1/3/2019,2020,FALSE
123,31094093,10.1002/pbc.27807,1.002803049,93730,17380,1422,,,,,,,,,,reverse transcriptase polymerase chain reaction (RT-PCR),NA,,Uganda,,,,,32.3691,1.2747,32.3691,1.2747,Uganda,32.29028,0.0788,1.373333,-0.0986,ADM-0,241551,1/4/2015,1/3/2018,2019,FALSE
124,33293746,10.2471/BLT.20.253583,1.027810651,206,52,2,,,,,,,,,1,TaqMan PCR probe,0-2 years,,Tanzania,Simiyu Region,Bariadi District,,,33.9833,-2.8167,33.9833,-2.8167,Bariadi District,33.99172,-0.0084,-2.80696,-0.0097,ADM-2,12175,1/2/2017,1/5/2018,2020,FALSE
125,33293746,10.2471/BLT.20.253583,1.031604938,111,24,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kagera region,Biharamulo district,,,31.2667,-2.6333,31.2667,-2.6333,Biharamulo district,31.31413,-0.0474,-2.6343,0.0010,ADM-2,6114,1/2/2017,1/5/2018,2020,FALSE
126,33293746,10.2471/BLT.20.253583,1.006944444,11,1,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kigoma region,Buhigwe district,,,30.3940,-4.5820,30.3940,-4.5820,Buhigwe district,29.92779,0.4662,-4.49659,-0.0854,ADM-2,2301,1/2/2017,1/5/2018,2020,FALSE
127,33293746,10.2471/BLT.20.253583,1.020582044,142,30,1,,,,,,,,,1,TaqMan PCR probe,0-2 years,,Tanzania,Kagera region,Bukoba district,,,31.8080,-1.3310,31.8080,-1.3310,Bukoba district,31.58266,0.2253,-1.46107,0.1301,ADM-2,2069,1/2/2017,1/5/2018,2020,FALSE
128,33293746,10.2471/BLT.20.253583,1.049247597,294,97,3,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Geita region,Bukombe district,,,32.0440,-3.5993,32.0440,-3.0220,Bukombe district,31.81071,0.2333,-3.59928,0.5773,ADM-2,7092,1/2/2017,1/5/2018,2020,FALSE
129,33293746,10.2471/BLT.20.253583,1.024787341,301,73,3,,,,,,,,,1,TaqMan PCR probe,0-2 years,,Tanzania,Mara region,Bunda district,,,34.3260,-2.0490,34.3260,-2.0490,Bunda district,33.87462,0.4514,-2.01853,-0.0305,ADM-2,6755,1/2/2017,1/5/2018,2020,FALSE
130,33293746,10.2471/BLT.20.253583,1.068583835,195,77,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Simiyu region,Busega district,,,33.9000,-2.7660,33.9000,-2.7660,Busega district,34.15319,-0.2532,-2.83087,0.0649,ADM-2,2050,1/2/2017,1/5/2018,2020,FALSE
131,33293746,10.2471/BLT.20.253583,0.9663923817,161,38,9,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mara region,Butiama district,,,33.8530,-1.9620,33.8530,-1.9620,Butiama district,33.96449,-0.1115,-1.76768,-0.1943,ADM-2,2445,1/2/2017,1/5/2018,2020,FALSE
132,33293746,10.2471/BLT.20.253583,1.023005647,399,108,7,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Geita region,Chato district,,,31.7196,-2.6090,32.8790,-2.6090,Chato district,31.71955,1.1595,-2.97853,0.3695,ADM-2,14361,1/2/2017,1/5/2018,2020,FALSE
133,33293746,10.2471/BLT.20.253583,1.024766975,929,219,8,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Geita region,Geita district,,,32.2290,-2.8850,32.2290,-3.7660,Geita district,32.23135,-0.0023,-2.88504,-0.8810,ADM-2,10294,1/2/2017,1/5/2018,2020,FALSE
134,33293746,10.2471/BLT.20.253583,1.027884412,426,107,4,,,,,,,,,2,TaqMan PCR probe,0-2 years,,Tanzania,Tabora region,Igunga district,,,33.9080,0.6600,33.9080,-5.0170,Igunga district,33.48319,0.4248,0.660014,-5.6770,ADM-2,7670,1/2/2017,1/5/2018,2020,FALSE
135,33293746,10.2471/BLT.20.253583,1.004883402,110,23,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Singida Region,Ikungi District,,,34.7445,-5.1836,34.7445,-5.1836,Ikungi District,34.76994,-0.0254,-5.13592,-0.0477,ADM-2,10133,1/2/2017,1/5/2018,2020,FALSE
136,33293746,10.2471/BLT.20.253583,1.019029597,394,110,9,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Ilemela District,,,32.8615,-2.5837,32.8615,-2.5837,Ilemela District,32.9663,-0.1048,-2.44846,-0.1352,ADM-2,1086,1/2/2017,1/5/2018,2020,FALSE
137,33293746,10.2471/BLT.20.253583,1.037080337,230,60,1,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Singida Region,Iramba District,,,34.3832,-4.3200,34.3832,-5.0296,Iramba District,34.33104,0.0522,-4.31995,-0.7097,ADM-2,10476,1/2/2017,1/5/2018,2020,FALSE
138,33293746,10.2471/BLT.20.253583,1.005237188,120,29,3,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Simiyu Region,Itilima District,,,34.4198,-3.1062,33.7069,-3.1062,Itilima District,34.41982,-0.7129,-2.88865,-0.2176,ADM-2,4295,1/2/2017,1/5/2018,2020,FALSE
139,33293746,10.2471/BLT.20.253583,1.026865788,1281,374,25,,,,,,,,,3,TaqMan PCR probe,0-2 years,,Tanzania,Shinyanga Region,Kahama District,,,32.5987,-3.8389,32.5987,-3.8389,Kahama District,32.26539,0.3333,-3.93022,0.0913,ADM-2,38931,1/2/2017,1/5/2018,2020,FALSE
140,33293746,10.2471/BLT.20.253583,1.041649313,39,10,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kigoma Region,Kakonko District,,,30.9600,-3.2800,30.9600,-3.2800,Kakonko District,30.94174,0.0183,-3.24688,-0.0331,ADM-2,12936,1/2/2017,1/5/2018,2020,FALSE
141,33293746,10.2471/BLT.20.253583,1.020825588,284,83,7,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Tabora Region,Kaliua District,,,31.4456,-5.0630,32.3020,-5.0630,Kaliua District,31.44562,0.8564,-5.32723,0.2642,ADM-2,8862,1/2/2017,1/5/2018,2020,FALSE
142,33293746,10.2471/BLT.20.253583,1.021717452,81,14,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kagera Region,Karagwe District,,,30.8528,-1.5869,30.8528,-1.5869,Karagwe District,30.98763,-0.1348,-1.77179,0.1849,ADM-2,3077,1/2/2017,1/5/2018,2020,FALSE
143,33293746,10.2471/BLT.20.253583,0.9982595625,120,34,5,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kigoma Region,Kasulu District,,,30.0648,-4.5795,30.0648,-4.5795,Kasulu District,30.43576,-0.3710,-4.43752,-0.1420,ADM-2,9390,1/2/2017,1/5/2018,2020,FALSE
144,33293746,10.2471/BLT.20.253583,1.016956257,129,31,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kigoma Region,Kibondo District,,,30.7276,-4.1938,30.7276,-3.5889,Kibondo District,31.07937,-0.3518,-4.19382,0.6049,ADM-2,11853,1/2/2017,1/5/2018,2020,FALSE
145,33293746,10.2471/BLT.20.253583,1.011015426,171,34,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kigoma Region,Kigoma District,,,29.6214,-4.8905,29.6214,-4.8905,Kigoma District,29.66151,-0.0401,-4.88241,-0.0081,ADM-2,2900,1/2/2017,1/5/2018,2020,FALSE
