country	longitude	latitude	polygon_id	source	Pfsa1_+	Pfsa1_N	Pfsa2_+	Pfsa2_N	Pfsa3_+	Pfsa3_N	Pfsa4_+	Pfsa4_N	Pfsa12_--	Pfsa12_-+	Pfsa12_+-	Pfsa12_++	Pfsa13_--	Pfsa13_-+	Pfsa13_+-	Pfsa13_++	Pfsa14_--	Pfsa14_-+	Pfsa14_+-	Pfsa14_++	Pfsa23_--	Pfsa23_-+	Pfsa23_+-	Pfsa23_++	Pfsa24_--	Pfsa24_-+	Pfsa24_+-	Pfsa24_++	Pfsa34_--	Pfsa34_-+	Pfsa34_+-	Pfsa34_++
Democratic Republic of the Congo	16.276296420000037	-2.611560103264202	7304	Verity et al 2021	2	4	2	4	1	5	6	6	2	0	0	2	2	0	2	0	0	2	0	2	2	0	2	0	0	2	0	2	0	4	0	1
Democratic Republic of the Congo	16.7762964199999	-6.941685484756526	7338	Verity et al 2021	4	5	2	4	3	4	5	5	1	0	1	2	1	0	0	3	0	1	0	4	1	1	0	2	0	2	0	2	0	1	0	3
Democratic Republic of the Congo	16.776296419999735	-5.209635674628754	7339	Verity et al 2021	1	2	1	2	1	2	2	2	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1
Democratic Republic of the Congo	16.77629641999967	-3.4775853810863753	7340	Verity et al 2021	3	4	0	2	1	3	4	4	1	0	1	0	1	0	1	1	0	1	0	2	2	0	0	0	0	2	0	0	0	2	0	1
Democratic Republic of the Congo	16.77629641999986	-1.745534764860421	7341	Verity et al 2021	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Democratic Republic of the Congo	17.276296420000254	-6.075660650166656	7376	Verity et al 2021	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Democratic Republic of the Congo	17.276296420000293	-4.343610578239447	7377	Verity et al 2021	3	5	2	3	2	3	7	7	1	1	0	1	1	0	0	2	0	2	0	2	1	0	0	1	0	1	0	1	0	1	0	1
Democratic Republic of the Congo	17.276296420000115	-2.6115601032640043	7378	Verity et al 2021	3	5	1	3	2	4	8	9	2	0	0	0	2	0	0	1	0	2	0	1	2	0	0	0	0	2	1	0	0	2	0	1
Democratic Republic of the Congo	17.77629642000026	-6.941685484756524	7412	Verity et al 2021	6	7	4	6	4	6	6	6	1	0	0	4	1	0	1	4	0	1	0	4	1	0	1	3	0	2	0	3	0	2	0	3
Democratic Republic of the Congo	17.776296420000282	-5.209635674628728	7413	Verity et al 2021	1	3	2	2	2	2	3	3	0	1	0	1	0	1	0	1	0	2	0	1	0	0	0	1	0	0	0	2	0	0	0	2
