Country	Admin level 1	Admin level 1 latitude	Admin level 1 longitude	pfsa1-	pfsa1+	pfsa2-	pfsa2+	pfsa3-	pfsa3+	pfsa4-	pfsa4+
Laos	Salavan	15.848394407019766	106.2737019612244	147	0	147	0	146	0	146	0
Laos	Savannakhet	16.553723207531004	105.70570242033504	435	0	436	0	435	0	427	0
Laos	Sekong	15.582019226578932	107.0391144072329	25	0	24	0	24	0	24	0
Cambodia	Battambang	12.97918302522486	103.101657473746	61	0	61	0	60	0	59	0
Cambodia	Koh Kong	11.464803850473482	103.46771719882524	5	0	5	0	5	0	5	0
Cambodia	Pailin	12.878390815590649	102.63333574645743	277	0	275	1	257	0	280	0
Cambodia	Preah Vihear	13.797960062402534	105.00794872557525	198	0	196	0	184	0	194	0
Cambodia	Pursat	12.3651936869371	103.63629837516362	657	0	654	0	625	0	650	0
Cambodia	Ratanakiri	13.792913728755918	107.08704598662467	405	0	403	0	387	0	403	0
Cambodia	Stueng Traeng	13.80339418020635	106.17684972131671	59	0	59	0	60	0	56	0
Vietnam	Bac Lieu	9.313845629717736	105.4892195375561	3	0	3	0	3	0	2	0
Vietnam	Binh Phuoc	11.755316722542776	106.90854306670612	737	0	737	0	722	0	722	0
Vietnam	Binh Thuan	11.117519689170294	108.0481952757472	4	0	5	0	4	0	0	0
Vietnam	Dak Lak	12.824588225745966	108.20698760011932	109	0	110	0	109	0	110	0
Vietnam	Dak Nong	12.227998776467	107.68863962876476	73	0	73	0	72	0	72	0
Vietnam	Gia Lai	13.797698629064282	108.24095949163627	359	0	359	0	363	0	348	1
Vietnam	Khanh Hoa	12.32806497235604	109.0381694908182	63	0	63	0	64	0	52	0
Vietnam	Ninh Thuan	11.70516074989577	108.86917591504468	141	0	146	0	160	0	83	0
Vietnam	Quang Nam	15.589768014089424	107.95995789617692	93	0	93	0	94	0	81	0
Vietnam	Quang Tri	16.745896233037332	106.93024303176963	39	0	38	0	38	0	37	0
Indonesia	Papua	-4.662877994107975	138.69110705911186	128	0	129	0	124	0	129	0
Papua New Guinea	East Sepik	-4.311829452918219	143.1717847466317	163	0	164	0	164	0	153	0
Papua New Guinea	Madang	-5.160796167451944	145.28763791084225	51	0	52	0	46	0	50	0
Papua New Guinea	Milne Bay	-9.95921993	150.84596252	29	0	29	0	29	0	29	0
NA	NA	NA	NA	142	8	154	3	132	13	107	44
